Country or area,Year,Per Capita GDP (US$)       ,Total,Men,Women
Republic of Moldova,2011,1975,41.5,45,38
Réunion,2011,…,57.7,64,52
Romania,2011,8853,56.4,65,49
Russian Federation,2011,13006,63.0,71,56
Rwanda,2011,583,85.9,85,86
Saint Kitts and Nevis,2011,13424,…,…,…
Saint Lucia,2011,7124,70.5,77,64
Saint Vincent and the Grenadines,2011,6291,67.1,78,56
Samoa,2011,3629,60.7,78,43
San Marino,2011,64480,…,…,…
Sao Tome and Principe,2011,1519,59.7,77,44
Saudi Arabia,2011,21262,49.9,74,18
Senegal,2011,1132,77.0,88,66
Serbiab,2011,5579,54.8,63,47
Seychelles,2011,11675,…,…,…
Sierra Leone,2011,483,67.7,69,66
Singapore,2011,50087,66.5,77,57
Slovakia,2011,17545,59.3,68,51
Slovenia,2011,24709,58.9,65,53
Solomon Islands,2011,1518,67.0,80,53
Somalia,2011,112,56.9,77,38
South Africa,2011,8090,52.3,61,44
South Sudan,2011,1420,…,…,…
Spain,2011,31820,59.3,67,52
Sri Lanka,2011,2812,55.0,76,35
Sudan,2011,1583,53.7,77,31
Suriname,2011,8708,54.5,69,41
Swaziland,2011,3399,56.8,71,44
Sweden,2011,57134,63.7,68,59
Switzerland,2011,85794,67.6,75,61
Syrian Arab Republic,2011,3095,42.5,72,13
Tajikistan,2011,935,65.9,75,57
TFYR of Macedonia,2011,4925,55.8,69,43
Thailand,2011,5318,71.7,80,64
Timor-Leste,2011,4829,…,…,…
Togo,2011,600,80.8,81,80
Tonga,2011,4335,64.1,75,54
Trinidad and Tobago,2011,16272,66.1,78,55
Tunisia,2011,4373,47.6,70,26
Turkey,2011,10524,49.5,71,28
Turkmenistan,2011,5042,60.8,76,46
Turks and Caicos Islands,2011,24363,…,…,…
Tuvalu,2011,3713,…,…,…
Uganda,2011,558,77.7,80,76
Ukraine,2011,3657,59.3,67,53
United Arab Emirates,2011,42921,79.1,92,44
United Kingdom,2011,38918,61.9,69,56
United Republic of Tanzania: Mainlandc,2011,526,89.2,90,88
United Republic of Tanzania: Zanzibard,2011,589,89.2,90,88
United States,2011,47882,63.6,70,58
United States Virgin Islands,2011,…,62.2,72,54
Uruguay,2011,13819,65.6,77,56
Uzbekistan,2011,1641,61.0,75,48
Vanuatu,2011,3168,70.7,80,61
Venezuela (Bolivarian Republic of),2011,10731,66.1,80,52
Viet Nam,2011,1392,77.1,81,73
Yemen,2011,1270,48.5,72,25
Zambia,2011,1426,79.4,86,73
Zimbabwe,2011,695,86.2,90,83
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
