Country,popSizeTotal,expl,perCap,unempMen,unempWomen,anyMethod,modernMethods,fertRateAdolescent,fertRateTotal,govCorpt,hivTotal,hivWomenShare,perCapGDP,econEngMen,econEngWomen,totalEcon,lifeExpBirthMen,lifeExpBirthWomen,lifeExp60Men,lifeExp60Women,eduTotal,eduMen,eduWomen,youthLitMen,youthLitWomen,adultLitMen,adultLitWomen,mortMatern,mortInfant,mortUnder5,popChangeUrban,popChangeRural,popGrowthRate,popGrowthWomenRate,popSizeMen,popSizeWomen,primEduBoy,primEduGirl,primEduGirlShare,prtTimeMen,prtTimeWomen,prtTimeWomenShare,secEduBoy,secEduGirl,secEduGirlShare,tertEduMen,tertEduWomen,tertEduWomenShare,waterUrban,waterRural,sanitUrban,sanitRural
GHANA,25546000,1090,4.27E-03,3.5,3.6,24,17,62.4,3.99,45,0.000939482,58,1570,72,67,69.4,64,66,18,19,11,12,11,82,80,73,61,350,44,63,3.5,0.9,2.3,72,50.8768496,49.1231504,84,84,49,NULL,NULL,NULL,51,47,46,15,9,37,91,80,19,8
GUINEA,10481000,15,1.43E-04,4.6,1.7,9,4,133.7,5.03,26,0.000667875,59,544,78,65,71.9,53,56,16,17,9,10,7,70,57,52,30,610,84,134,3.9,1.7,2.5,113,50.5390707,49.4609293,83,70,45,NULL,NULL,NULL,36,22,36,14,5,24,90,65,32,11
GUINEA-BISSAU,1580000,145,9.18E-03,NULL,NULL,10,6,96.2,4.88,16.5,0.001265823,60,591,78,68,73,47,50,15,16,10,7,5,79,65,68,41,790,110,181,3.6,0.9,2.1,100,49.55696203,50.44303797,75,72,48,NULL,NULL,NULL,12,7,35,1,-,16,91,53,44,9
HAITI,10256000,678,6.61E-03,6.2,8.3,32,24,41.3,3.16,18.5,0.001072543,61,665,71,60,65.3,61,64,16,17,NULL,NULL,NULL,74,70,53,45,350,58,76,3.7,-1.7,1.3,76,49.60023401,50.3900156,NULL,NULL,49,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,85,51,24,10
INDONESIA,244769000,3723,1.52E-03,NULL,NULL,61,57,42.3,2.06,36.5,0.000122565,29,3495,84,51,67.5,68,72,17,19,13,13,13,100,99,96,90,220,25,31,2.4,-0.6,1,80,49.84822424,50.15177576,95,97,50,16.7,31,44.3,68,67,49,24,22,47,92,74,73,39
ITALY,60964000,28,4.59E-05,7.6,9.6,63,41,4,1.48,45.5,0.000229644,34,36124,60,38,48.4,79,85,22,26,16,16,17,100,100,99,99,4,3,4,0.5,-0.3,0.2,113,49.00597074,50.99402926,98,97,48,6.6,31.3,76.6,94,94,48,55,77,58,100,100,NULL,NULL
JAPAN,126435000,111,8.78E-05,4.8,4.1,54,44,6,1.42,73.5,6.40645E-06,33,46407,72,49,60.1,80,87,23,29,15,15,15,NULL,NULL,NULL,NULL,5,3,3,0.6,-7.6,-0.1,122,48.68193143,51.31727765,NULL,NULL,49,10.3,34.8,71,99,100,49,63,56,46,100,100,100,100
JORDAN,6457000,108,1.67E-03,11,21.2,59,41,23.7,2.89,50.5,NULL,NULL,4556,66,16,41.5,72,75,19,20,13,12,13,99,99,96,89,63,19,22,2.2,0.5,1.9,97,51.41706675,48.58293325,91,91,49,NULL,NULL,NULL,83,88,50,35,41,52,98,92,98,98
KAZAKHSTAN,16381000,305,1.86E-03,4.6,6.2,51,49,25.5,2.48,28.5,7.93602E-05,59,11503,77,67,71.6,62,73,14,19,15,15,16,100,100,100,100,51,24,29,0.9,1.2,1,117,48.04346499,51.96263964,89,88,49,NULL,NULL,NULL,90,89,48,33,48,58,99,90,97,98
KUWAIT,2892000,206,7.12E-03,2,1.8,52,39,14.4,2.25,45,NULL,NULL,57102,82,43,67.7,74,76,18,18,14,13,15,99,99,95,92,14,8,10,2.4,1.7,2.4,43,59.57814661,40.38727524,91,94,49,NULL,NULL,NULL,86,93,50,14,31,64,99,99,100,100
KYRGYZSTAN,5448000,449,8.24E-03,7.3,9.4,48,46,33,2.62,28,0.000178047,29,1098,79,56,66.7,64,72,15,19,13,12,13,100,100,100,99,71,33,42,1.3,0.9,1.1,139,49.32085169,50.67914831,88,87,49,NULL,NULL,NULL,79,79,49,42,55,56,99,85,94,93
LAO PEOPLES DEMOCRATIC REPUBLIC,6374000,130,2.04E-03,1.3,1.4,38,..,30.1,2.54,NULL,0.000130217,42,1303,80,77,77.9,66,69,16,18,10,11,9,89,79,82,63,470,37,46,4.4,-0.4,1.3,92,49.93724506,50.06275494,98,95,47,NULL,NULL,NULL,42,38,45,19,14,43,77,62,89,50
LEBANON,4292000,73,1.70E-03,8.6,10.1,58,34,15.4,1.76,28,7.92171E-05,32,9165,71,23,45.8,71,75,17,20,14,13,14,98,99,93,86,25,20,24,0.9,-0.2,0.7,97,48.81174278,51.18825722,92,91,48,NULL,NULL,NULL,71,79,52,49,59,54,100,100,100,87
MALAYSIA,28334135,798,2.82E-03,3.3,3.6,55,30,NULL,NULL,49.5,0.000352931,11,9977,77,44,60.4,NULL,NULL,NULL,NULL,13,12,13,98,98,95,91,NULL,NULL,NULL,NULL,NULL,1.6,82,NULL,NULL,96,96,48,NULL,NULL,NULL,65,71,51,35,45,56,100,99,96,95
MALI,16319000,45,2.76E-04,7.2,10.9,8,6,168.9,6.12,33.5,0.000404437,61,671,70,37,53.1,51,53,13,14,7,8,7,56,34,43,20,540,92,173,4.8,1.9,3,91,50.01531957,49.98468043,67,59,46,NULL,NULL,NULL,36,25,41,8,4,31,87,51,35,14
MAURITIUS,1283415,20,1.56E-03,5.2,12.3,76,39,NULL,NULL,53.5,0.000677879,29,8659,76,44,59.5,NULL,NULL,NULL,NULL,14,13,14,96,98,91,86,NULL,NULL,NULL,NULL,NULL,0.5,172,NULL,NULL,92,94,49,23.8,39.1,44.4,74,74,49,22,28,55,100,99,91,88
MEXICO,116147000,176,1.52E-04,5.3,5.2,71,67,65.5,2.23,30.5,0.000189415,27,10063,81,44,61.9,75,80,21,23,14,14,14,98,98,94,92,50,14,17,1.5,-0.2,1.1,98,49.32370186,50.67629814,98,98,49,12.5,27.7,57.1,70,73,51,28,28,50,97,91,87,79
MYANMAR,48724000,1281,2.63E-03,4.7,8.8,41,38,12,1.94,25,0.000472047,35,1144,82,75,78.5,64,68,16,18,9,NULL,NULL,96,96,95,90,200,45,57,2.5,-0.1,0.8,95,49.27140629,50.72859371,NULL,NULL,50,NULL,NULL,NULL,49,52,51,9,13,58,93,78,83,73
NEPAL,31011000,27,8.71E-05,3.1,2.4,48,44,86.2,2.59,28,0.00019348,33,607,88,80,83.9,68,70,17,18,9,10,8,88,78,73,48,170,32,39,3.6,1.3,1.7,214,49.59208023,50.40791977,78,64,50,NULL,NULL,NULL,NULL,NULL,47,8,3,41,93,88,48,27
NIGER,16644000,31,1.86E-04,1.7,0.9,11,5,193.6,6.93,34.5,0.000318433,53,397,90,40,64.6,55,56,14,15,5,6,4,52,23,43,15,590,86,144,4.9,3.2,3.5,117,50.33645758,49.66955059,68,57,44,NULL,NULL,NULL,13,8,40,2,1,30,100,39,34,4
NIGERIA,166629000,119,7.14E-05,3.7,4.4,15,8,111.3,5.43,27,0.001740393,59,1509,63,48,55.6,52,53,15,17,9,10,8,78,66,72,50,630,88,141,3.7,1.3,2.5,90,50.65024696,49.34975304,60,55,47,NULL,NULL,NULL,NULL,NULL,46,12,9,41,74,43,35,27
OMAN,2904000,94,3.24E-03,NULL,NULL,32,25,9.3,2.15,45,3.78788E-05,NULL,25536,82,28,61.3,71,76,16,19,14,13,14,98,98,90,81,32,8,11,2.2,0.9,1.9,26,59.09090909,40.90909091,95,92,48,NULL,NULL,NULL,89,90,42,21,29,50,93,78,100,95
PHILIPPINES,96471000,13276,1.38E-02,NULL,NULL,51,34,46.5,3.05,35,8.9146E-06,30,2370,79,50,64.4,66,73,16,19,12,11,12,97,98,95,96,99,21,27,2.2,1.2,1.7,105,50.13631039,49.86472619,88,89,48,NULL,NULL,NULL,56,67,49,26,32,54,93,92,79,69
POLAND,38317000,351,9.16E-04,9,10.4,73,28,12.2,1.42,62.5,7.04648E-05,30,13424,64,48,55.9,72,81,18,23,15,15,16,100,100,100,99,5,6,7,0,0.2,0,144,48.21358666,51.78641334,96,96,48,4.9,12.4,67.4,90,92,50,58,83,58,100,NULL,96,80
QATAR,1939000,237,1.22E-02,0.2,3.3,43,32,15.5,2.2,66,NULL,NULL,92682,95,52,86.4,79,78,22,21,12,12,14,96,98,97,95,7,8,10,3,-8.6,2.9,35,75.86384734,24.13615266,92,92,49,NULL,NULL,NULL,76,93,47,5,26,63,100,100,100,100
"KOREA, REPUBLIC OF",48588000,12,2.47E-05,3.6,3.1,80,70,5.8,1.39,NULL,1.95522E-05,31,23067,71,49,60.2,77,84,21,26,17,18,16,NULL,NULL,NULL,NULL,16,4,5,0.7,-1.2,0.4,111,49.83946653,50.16259159,99,98,48,10,18.5,56.6,96,95,50,119,86,39,100,88,100,100
"MOLDOVA, REPUBLIC OF",3563695,12925,3.63E-01,7.7,5.6,68,43,NULL,NULL,NULL,0.000336729,43,1975,45,38,41.5,NULL,NULL,NULL,NULL,12,12,12,99,100,99,98,NULL,NULL,NULL,NULL,NULL,-0.7,127,NULL,NULL,88,87,48,21.8,31.9,61.3,78,79,48,33,44,56,99,93,89,82
ROMANIA,21388000,958,4.48E-03,7.9,6.8,70,38,28.8,1.43,47,7.01328E-05,31,8853,65,49,56.4,71,78,17,22,15,14,15,97,97,98,97,27,12,15,-0.2,-0.3,-0.2,105,48.48513185,51.51019263,88,87,48,9.6,11.5,49.5,82,83,48,50,68,56,99,76,88,54
RUSSIAN FEDERATION,142703000,2619,1.84E-03,7,6.2,80,65,23.2,1.53,NULL,0.000672726,50,13006,71,56,63,63,75,15,21,14,14,15,100,100,100,99,34,11,16,0.1,-0.8,-0.1,137,46.2442976,53.75640316,93,93,49,2.8,5.4,65.3,NULL,NULL,52,65,87,57,99,92,74,59
SAUDI ARABIA,28705000,257,8.95E-04,3.5,15.9,24,..,22.1,2.64,49,NULL,NULL,21262,74,18,49.9,73,76,19,20,14,14,14,99,97,90,81,24,16,19,2.4,0.9,2.1,43,55.10189862,44.89810138,90,89,49,NULL,NULL,NULL,78,83,46,35,39,52,97,63,100,NULL
SENEGAL,13108000,440,3.36E-03,7.9,13.6,12,10,89.7,4.61,44.5,0.000411962,59,1132,88,66,77,59,61,13,14,8,8,8,74,56,62,39,370,50,85,3.3,2.1,2.6,105,49.59566677,50.40433323,73,78,51,NULL,NULL,NULL,24,19,49,10,6,37,93,56,70,39
SIERRA LEONE,6126000,130,2.12E-03,4.5,2.3,8,6,104.2,4.73,29.5,0.000750898,61,483,69,66,67.7,48,49,11,11,7,9,6,69,50,54,31,890,103,157,3,1.5,2.1,84,48.90630101,51.09369899,NULL,NULL,49,NULL,NULL,NULL,NULL,NULL,48,3,1,29,87,35,23,6
SINGAPORE,5256000,37,7.04E-04,2.6,3.2,62,55,6.7,1.37,84.5,6.27854E-05,30,50087,77,57,66.5,79,84,22,25,NULL,NULL,NULL,100,100,98,94,3,2,2,1.1,0,1.1,128,50.39954338,49.60045662,NULL,NULL,48,NULL,NULL,NULL,NULL,NULL,49,NULL,NULL,50,100,100,100,NULL
SOUTH AFRICA,50738000,36,7.10E-05,22.3,27.7,60,60,50.4,2.38,44.5,0.01044582,62,8090,61,44,52.3,53,54,14,18,NULL,NULL,NULL,97,98,91,87,300,46,64,1.2,-0.7,0.5,74,49.57625448,50.42374552,85,85,49,5,11.2,63.2,59,65,49,NULL,NULL,NULL,99,79,86,67
SRI LANKA,21224000,85,4.00E-04,3.5,7.7,68,53,22.1,2.24,36.5,1.31926E-05,NULL,2812,76,35,55,72,78,19,22,NULL,NULL,NULL,98,99,93,90,35,11,13,1.4,0.7,0.8,99,49.30267622,50.69732378,94,94,49,NULL,NULL,NULL,NULL,NULL,46,11,20,65,99,90,88,93
SYRIAN ARAB REPUBLIC,21118000,41,1.94E-04,5.7,22.5,58,43,36.5,2.77,NULL,NULL,NULL,3095,72,13,42.5,74,78,19,21,NULL,NULL,NULL,96,94,90,77,70,14,16,2.4,0.8,1.7,96,50.58244152,49.41755848,94,92,48,6.6,13.3,27.4,67,67,46,NULL,NULL,NULL,93,86,96,93
TAJIKISTAN,7079000,165,2.33E-03,NULL,NULL,37,32,25.7,3.16,25.5,0.000125724,30,935,75,57,65.9,65,71,16,21,12,12,11,100,100,100,100,65,51,65,1.7,1.4,1.5,133,49.10298065,50.89701935,99,95,48,NULL,NULL,NULL,90,80,51,28,11,29,92,54,95,94
"MACEDONIA, THE FORMER YUGOSLAV REPUBLIC OF",2052722,194,9.45E-03,31.8,30.8,14,10,NULL,NULL,NULL,NULL,NULL,4925,69,43,55.8,NULL,NULL,NULL,NULL,NULL,NULL,NULL,99,99,99,96,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,5.7,7.1,44.9,NULL,NULL,NULL,36,42,53,NULL,NULL,NULL,NULL
THAILAND,69892000,586,8.38E-04,0.7,0.6,81,80,37,1.53,36.5,0.000744005,40,5318,80,64,71.7,71,78,19,22,12,12,13,98,98,96,92,48,11,13,1.6,-0.1,0.5,94,49.12007097,50.88135981,90,89,48,6.5,7.5,48.6,70,78,48,41,54,56,97,95,95,96
TRINIDAD AND TOBAGO,1351000,85,6.29E-03,3.5,6.2,43,38,31.6,1.63,37,0.001036269,34,16272,78,55,66.1,67,74,16,21,12,12,12,100,100,99,98,46,24,31,2.2,0,0.3,118,48.40858623,51.59141377,94,94,48,6.9,9.5,44.9,66,70,50,10,13,56,98,93,92,92
TURKEY,74509000,262,3.52E-04,9.2,11.3,73,46,30.5,2.02,41.5,6.03954E-06,31,10524,71,28,49.5,72,77,18,21,13,13,12,99,97,96,85,20,20,23,2.4,-2.3,1.1,108,49.86377485,50.13622515,98,97,49,6.6,24.3,60,77,71,52,51,40,44,100,99,97,75
TURKMENISTAN,5170000,52,1.01E-03,NULL,NULL,62,45,16.9,2.32,20,NULL,NULL,5042,76,46,60.8,61,69,15,19,NULL,NULL,NULL,100,100,100,99,67,49,62,1.9,0.6,1.2,133,49.20696325,50.79303675,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,97,72,99,97
UGANDA,35621000,193,5.42E-04,3.1,5.1,24,18,126.4,5.9,25,0.002807333,61,558,80,76,77.7,54,55,16,17,11,11,11,90,85,83,65,310,72,114,5.7,2.6,3.1,100,50.012633,49.987367,90,92,50,NULL,NULL,NULL,17,15,48,5,4,44,95,68,34,34
UKRAINE,44940000,12335,2.74E-02,8.8,6.8,67,48,26.1,1.48,28,0.000778816,49,3657,67,53,59.3,64,75,15,20,15,14,15,100,100,100,100,32,12,15,-0.3,-1.2,-0.5,133,45.98798398,54.01424121,90,91,49,NULL,NULL,NULL,86,86,50,71,89,54,98,98,96,89
UNITED ARAB EMIRATES,8106000,515,6.35E-03,2,12,28,24,23.4,1.71,68,NULL,NULL,42921,92,44,79.1,76,78,20,21,12,11,13,94,97,89,91,12,7,8,2.5,0.3,2.2,38,69.31902295,30.68097705,87,90,49,NULL,NULL,NULL,80,82,49,12,39,60,100,100,98,95
UNITED STATES OF AMERICA,315791000,13725,4.35E-03,9.4,8.5,79,73,27.4,2.08,NULL,0.000379998,26,47882,70,58,63.6,76,81,22,25,17,16,18,NULL,NULL,NULL,NULL,21,6,8,1.1,-0.5,0.9,99,49.40071123,50.59928877,94,95,49,NULL,NULL,NULL,89,90,52,79,111,57,100,94,100,99
UZBEKISTAN,28077000,446,1.59E-03,NULL,NULL,65,59,12.8,2.26,20,9.97258E-05,29,1641,75,48,61,66,72,17,20,12,12,11,100,100,100,99,28,44,53,1.3,1.1,1.1,133,49.71328846,50.29027318,91,88,48,NULL,NULL,NULL,93,91,49,11,7,39,98,81,100,100
VIETNAM,89730000,15,1.67E-05,1.7,2.4,80,69,22.7,1.75,32,0.000300903,30,1392,81,73,77.1,73,77,20,23,12,12,12,97,96,95,91,59,18,23,3,0.1,1,58,49.46840522,50.53270924,NULL,NULL,47,NULL,NULL,NULL,NULL,NULL,37,22,22,49,99,93,94,68
"CONGO, THE DEMOCRATIC REPUBLIC OF THE",NULL,53,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
Unknown,NULL,7578,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
COTE DIVOIRE,NULL,31,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
Missing,NULL,11894,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
"TAIWAN, PROVINCE OF CHINA",NULL,33,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
